dataset,fraction_label,model,mode,n,inside_change_mean,inside_change_std,outside_change_mean,outside_change_std,leakage_ratio_mean,leakage_ratio_std,leakage_ratio_median,outside_p99_mean,outside_p99_std,outside_p999_mean,outside_p999_std
imagenet_val,25,vqgan,orthogonal,50000,0.23904108441904492,0.04699318832649179,0.04551115515419904,0.014300492269100873,0.1935495511561557,0.05885316381185131,0.18721650795081465,0.3170479164084229,0.09058394220856773,0.5372676325947222,0.1251232683872052
imagenet_val,25,vqgan,random_uniform,50000,0.19976443850944658,0.05351585662044321,0.05032233644174004,0.01694870323354875,0.26426312482444986,0.09722459113109193,0.2490532488843659,0.30212960529350974,0.09133352175366209,0.487441253075464,0.12873998768655207
imagenet_val,25,vqgan,farthest,50000,0.6072305908717979,0.08891617830183532,0.08993105100252384,0.021689605756284452,0.15015249586476095,0.038649306055010296,0.14712998819785755,0.6728830941941673,0.13393775708474137,0.8541886801129291,0.09635585607623524
imagenet_val,50,llamagen,closest,50000,0.06577078914607294,0.021128963273780506,0.019197049019758543,0.007485130750981605,0.2969278928196217,0.1093570099226573,0.2920237826511358,0.13082212244922609,0.053210276847526536,0.26571595742067744,0.09676982746964573
imagenet_val,50,llamagen,orthogonal,50000,0.22851628811537242,0.046028430091272714,0.060688371048097316,0.015447163956423995,0.26994186167967293,0.06399930900153965,0.2672671719884615,0.3032345210470816,0.07245774021279519,0.4816873693106091,0.10548501739589894
imagenet_val,50,llamagen,random_uniform,50000,0.2261807944257652,0.046475413140587174,0.05998364738307202,0.015332633084020235,0.26992623308532415,0.06470052181855662,0.2673252944082618,0.30233440470006745,0.07338500810664392,0.48466171171391287,0.10774858128487007
imagenet_val,50,llamagen,farthest,50000,0.37574937278278286,0.08310888392476773,0.07764931189683147,0.019633701369001968,0.21269732995207655,0.05656220867960261,0.21019253993492598,0.4025631499714437,0.08824242563497674,0.6098387821482203,0.11284368824156195
imagenet_val,50,vqgan,closest,50000,0.07220059928118325,0.023781662679230733,0.02827406500547964,0.012033738083955057,0.3924160779276339,0.10737574375258446,0.3900479407366984,0.1834681025233965,0.08027217718188244,0.3517493740179051,0.1328567598795715
imagenet_val,50,vqgan,orthogonal,50000,0.2465897009431027,0.04274728486363916,0.0671222838096424,0.019705383015874458,0.2758067844050833,0.07840204055337685,0.2704310406578535,0.3729177450884972,0.09877035899463672,0.5823822328692492,0.1261249054132785
imagenet_val,50,vqgan,random_uniform,50000,0.20741005650608205,0.05207152308258864,0.07456318219613634,0.022797034420356938,0.3752227754925815,0.12608223027315701,0.359804741269958,0.35227043340705394,0.10228024142085976,0.5315082739353948,0.14039589689736895
