model,dataset,dataset_label,code_id,imagenet_code_total,ood_code_total,l1_spatial_distance,imagenet_effective_support,ood_effective_support,effective_support_ratio,imagenet_zero_fraction,ood_zero_fraction,imagenet_max_position_mass,ood_max_position_mass,zero_fraction_delta,max_position_mass_delta
LlamaGen,objectnet,ObjectNet,2772,801,642,0.6827680352829991,213.56679620637178,198.4042341052971,0.9290031860269939,0.046875,0.08203125,0.011235955056179775,0.014018691588785047,0.03515625,0.0027827365326052716
LlamaGen,objectnet,ObjectNet,2773,608,398,0.8366668870669134,197.10772528392707,165.73611098706874,0.8408402600574454,0.10546875,0.25390625,0.011513157894736841,0.01507537688442211,0.1484375,0.0035622189896852684
LlamaGen,objectnet,ObjectNet,2774,960,1007,0.6963650281363787,219.04580164831683,198.96733374590596,0.9083366686267408,0.03125,0.0859375,0.011458333333333333,0.010923535253227408,0.0546875,-0.0005347980801059249
LlamaGen,objectnet,ObjectNet,2775,723,426,0.7651802933785283,209.67977591432927,171.29344177043782,0.8169287716161272,0.05859375,0.22265625,0.015214384508990318,0.018779342723004695,0.1640625,0.0035649582140143774
LlamaGen,objectnet,ObjectNet,2776,569,498,0.8165809106372768,199.659136166998,174.30421244175494,0.8730089480902301,0.10546875,0.1953125,0.012302284710017574,0.01606425702811245,0.08984375,0.003761972318094874
LlamaGen,objectnet,ObjectNet,2777,857,1462,0.6402699583537521,217.5237058287168,205.84999794335786,0.946333629059487,0.0234375,0.1015625,0.011668611435239206,0.010259917920656635,0.078125,-0.0014086935145825718
LlamaGen,objectnet,ObjectNet,2778,653,1016,0.7236166210464121,198.5787212074087,207.350897920535,1.0441748071484662,0.09375,0.0625,0.01225114854517611,0.011811023622047244,-0.03125,-0.0004401249231288668
LlamaGen,objectnet,ObjectNet,2779,782,895,0.6850819414479419,209.10039829512198,192.85615942481732,0.922313687574245,0.0703125,0.12890625,0.010230179028132993,0.0111731843575419,0.05859375,0.0009430053294089066
LlamaGen,objectnet,ObjectNet,2780,812,715,0.6925832787901753,213.71998012958923,195.42932732875514,0.9144176749888169,0.05078125,0.1015625,0.012315270935960592,0.016783216783216783,0.05078125,0.0044679458472561915
LlamaGen,objectnet,ObjectNet,2781,822,514,0.6956459996023744,220.4085154450991,189.72713478278433,0.8607976620124865,0.0390625,0.15234375,0.009732360097323601,0.017509727626459144,0.11328125,0.007777367529135543
LlamaGen,objectnet,ObjectNet,2782,748,561,0.7549019607843137,214.38266412455852,183.39660541451275,0.855463785579031,0.046875,0.1875,0.0106951871657754,0.012477718360071301,0.140625,0.001782531194295901
LlamaGen,objectnet,ObjectNet,2783,850,429,0.7869244481009187,210.9863319129832,178.1392399274372,0.8443164934537414,0.04296875,0.2109375,0.011764705882352941,0.016317016317016316,0.16796875,0.004552310434663375
LlamaGen,objectnet,ObjectNet,2784,774,1036,0.6706972753484381,215.14442947002672,208.94981589392876,0.9712071858362432,0.046875,0.0546875,0.012919896640826873,0.011583011583011582,0.0078125,-0.0013368850578152902
